batch_size,best_loss,best_loss_epoch,bootstrap,epochs,lr_final,lr_start,mae_all_outputs,mae_water,median_epoch_time,name,num_epochs,output_variables,path,seed,total_time,train_size
512,0.08319751918315887,1618,,2048,1e-06,0.003,0.23270088753808227,0.29769242750570396,52.730239563039504,dielectric-constant-softplus-charges,2048,"['sol_acetone', 'sol_acn', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/dielectric-constant-softplus-charges/B512-N2048-L 3.000e-03-6fda59,1,102836.88201245619,117232
512,0.204763725399971,1415,,8192,1e-06,0.003,0.3410877294655919,0.43222507653477654,43.44465030741413,dielectric-constant-softplus-mpnn-charges,8192,"['sol_acetone', 'sol_acn', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/dielectric-constant-softplus-mpnn-charges/B512-N8192-L 3.000e-03-8590fa,1,355947.65386712435,117232
512,0.2017851173877716,776,,8192,1e-06,0.003,0.3525827120273952,0.43397608548421623,43.03368880704511,dielectric-constant-softplus_no-acn,8192,"['sol_acetone', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/dielectric-constant-softplus_no-acn/B512-N8192-L 3.000e-03-5379ab,1,352534.2307923236,117232
512,0.2209128737449646,1290,,8192,1e-06,0.003,0.34753405440883034,0.43449880975949023,43.57314405392389,dielectric-constant-softplus,8192,"['sol_acetone', 'sol_acn', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/dielectric-constant-softplus/B512-N8192-L 3.000e-03-3192ed,1,357012.9667433691,117232
512,0.20680609345436096,1148,,8192,1e-06,0.003,0.34799579796111935,0.4352108526667972,45.34275814599823,multi-task_multi-dense,8192,"['sol_acetone', 'sol_acn', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/multi-task_multi-dense/B512-N8192-L 3.000e-03-4ed051,1,371488.08444197197,117232
512,0.34854578971862793,5793,,8192,1e-06,0.003,0.44028902899041916,0.44028902899041916,42.85250799008645,single-task,8192,['sol_water'],networks/single-task/B512-N8192-L 3.000e-03-4a8534,1,351152.45948850387,117232
512,0.22105424106121066,977,,4096,1e-06,0.003,0.3505475062359773,0.4455625493556119,43.500324468594044,dielectric-constant-softplus,4096,"['sol_acetone', 'sol_acn', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/dielectric-constant-softplus/B512-N4096-L 3.000e-03-2de714,1,178162.32018689252,117232
512,0.185702845454216,614,,8192,1e-06,0.003,0.35180763818834115,0.4455979142481698,42.96736388700083,multi-task,8192,"['sol_acetone', 'sol_acn', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/multi-task/B512-N8192-L 3.000e-03-2137be,1,352054.41348226764,117232
512,0.22710298001766205,877,,2048,1e-06,0.003,0.3618396116516173,0.45325862649469023,51.49189359752927,dielectric-constant-softplus-mpnn-charges,2048,"['sol_acetone', 'sol_acn', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/dielectric-constant-softplus-mpnn-charges/B512-N2048-L 3.000e-03-ff4b00,1,101259.04208145407,117232
512,0.23837363719940186,665,,2048,1e-06,0.003,0.3758380499080979,0.4582045578718356,51.39860039611813,dielectric-constant-softplus_no-acn,2048,"['sol_acetone', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/dielectric-constant-softplus_no-acn/B512-N2048-L 3.000e-03-f9df85,1,101053.4845485061,117232
512,0.2371509373188019,371,,2048,1e-06,0.003,0.37008156020116234,0.4634977427039536,52.89304112596437,dielectric-constant-softplus,2048,"['sol_acetone', 'sol_acn', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/dielectric-constant-softplus/B512-N2048-L 3.000e-03-668efe,1,103009.72875706642,117232
512,0.3791210055351257,1046,,4096,1e-06,0.003,0.4659905532332258,0.4659905532332258,42.76570394891314,single-task,4096,['sol_water'],networks/single-task/B512-N4096-L 3.000e-03-9488ee,1,175193.08222661377,117232
512,0.2274492084980011,378,,2048,1e-06,0.003,0.37401826488711964,0.4691319693099954,54.93575681943912,multi-task_multi-dense,2048,"['sol_acetone', 'sol_acn', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/multi-task_multi-dense/B512-N2048-L 3.000e-03-1c7c5c,1,106477.28961734031,117232
512,0.2349858283996582,146,,2048,1e-06,0.003,0.3842166632786312,0.4709200748180408,51.55178604600951,dielectric-constant-softplus-mpnn-charges_no-acn,2048,"['sol_acetone', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/dielectric-constant-softplus-mpnn-charges_no-acn/B512-N2048-L 3.000e-03-a79941,1,101364.07454720419,117232
512,0.2443871647119522,146,,2048,1e-06,0.003,0.38642284339988103,0.4711275829437586,51.31303650897462,dielectric-constant_no-acn,2048,"['sol_acetone', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/dielectric-constant_no-acn/B512-N2048-L 3.000e-03-c83c42,1,100910.96180902375,117232
512,0.25479891896247864,137,,2048,1e-06,0.003,0.36887600024908346,0.47189969807329957,51.64068197959568,multi-task,2048,"['sol_acetone', 'sol_acn', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/multi-task/B512-N2048-L 3.000e-03-0c72c2,1,100909.47855181503,117232
512,0.2350791096687317,593,,2048,1e-06,0.003,0.37974472979676804,0.47318203953965154,51.70521349716,dielectric-constant,2048,"['sol_acetone', 'sol_acn', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/dielectric-constant/B512-N2048-L 3.000e-03-e5ee99,1,101594.76127551915,117232
512,0.292145311832428,161,,2048,1e-06,0.003,0.47320569231398746,0.47320569231398746,42.64057269645855,single-task,2048,['sol_water'],networks/single-task/B512-N2048-L 3.000e-03-7747ef,1,87364.34546145913,117232
512,0.23541978001594546,225,,2048,1e-06,0.003,0.38878473756434434,0.4746432189185168,51.66342340048869,dielectric-constant-softplus-gasteiger-charges_no-acn,2048,"['sol_acetone', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/dielectric-constant-softplus-gasteiger-charges_no-acn/B512-N2048-L 3.000e-03-a18682,1,101544.63855838287,117232
512,0.2319639027118683,420,,2048,1e-06,0.003,0.38969745138270384,0.4775583098045754,42.521861780202016,multi-task_no-acn,2048,"['sol_acetone', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/multi-task_no-acn/B512-N2048-L 3.000e-03-f443a0,1,87111.59159928001,117232
64,0.05946532264351845,43,,512,1e-06,0.001,0.47956390219005074,0.47956390219005074,77.22624976863153,single-task,512,['sol_water'],networks/single-task/B64-N512-L 1.000e-03-030ac1,1,36785.39174066251,117232
512,0.2345050573348999,2024,,4096,1e-06,0.003,0.395445936575375,0.48077526115014124,43.05898812843952,dielectric-constant-softplus_no-acn,4096,"['sol_acetone', 'sol_dmso', 'sol_ethanol', 'sol_water']",networks/dielectric-constant-softplus_no-acn/B512-N4096-L 3.000e-03-507ba5,1,176370.9615117663,117232
128,0.2898043096065521,82,,512,1e-06,0.001,0.488400781464141,0.488400781464141,59.79002971504815,single-task,512,['sol_water'],networks/single-task/B128-N512-L 1.000e-03-6a2dfe,1,28704.932693722425,117232
512,0.4049287140369415,206,,256,1e-06,0.003,0.49194360172405954,0.49194360172405954,42.883957237005234,single-task,256,['sol_water'],networks/single-task/B512-N256-L 3.000e-03-ceba6d,1,10984.147301985882,117232
